"","USFS.Unit.Number","Plot.ID","X2013.Plot.Tree..","Unique.Tree.ID","X2013.DBH","X2013.FIA.Species.Code","X2013.Height","X2013.Live.Crown.Ratio","X2019.Plot.Tree..","Unique.Tree.ID.1","Dead.","X2019.DBH","X2019.FIA.Species.Code","X2019.Height","X2019.Live.Crown.Ratio","X2021.Plot.Tree..","Unique.Tree.ID.2","Dead..","X2021.DBH","X2021.FIA.Species.Code","X2021.Height","X2021.Live.Crown.Ratio","X2022.Plot.Tree..","Unique.Tree.ID.3","Dead..1","X2022.DBH","X2022.FIA.Species.Code","X2022.Height","X2022.Live.Crown.Ratio","X","Species13","Species19","Species21","Species22"
"1","12B","59",1,"21",21.7,"117",106,0,1,583,"",55.5,"15",35.4,0,1,1944,"",23.5,"081",12.5,9.2,NA,NA,"","","",NA,NA,NA,"SP","WF","IC",""
"2","12B","59",2,"20",19.7,"81",95,20,2,584,"",52,"81",34.3,26.9,2,1945,"",17.2,"081",8.9,6.7,NA,NA,"","","",NA,NA,NA,"IC","IC","IC",""
"3","12B","59",3,"19",22.1,"202",125,30,3,585,"",58,"202",39.3,17.3,3,1946,"y",46.3,"snag",32.6,NA,NA,NA,"","","",NA,NA,NA,"DF","DF","snag",""
"4","12B","59",4,"18",21.4,"202",NA,30,4,586,"",56,"202",37.5,27.2,4,1947,"",15.3,"015",8.9,5.4,NA,NA,"","","",NA,NA,NA,"DF","DF","WF",""
"5","12B","59",5,"17",35.8,"15",NA,40,5,587,"",91,"15",38.1,29.3,5,1948,"",92.3,"202",38.3,25,NA,NA,"","","",NA,NA,NA,"WF","WF","DF",""
"6","12B","59",6,"16",11.5,"81",NA,30,6,588,"",75.5,"202",41.8,25.4,6,1949,"",17.2,"818",9.3,4.2,NA,NA,"","","",NA,NA,NA,"IC","DF","BO",""
"7","12B","59",7,"15",28.8,"202",NA,40,7,589,"",16,"202",16.7,12,7,1950,"",30,"081",16.6,8.3,NA,NA,"","","",NA,NA,NA,"DF","DF","IC",""
"8","12B","59",8,"14",29.8,"15",NA,30,8,590,"",25.5,"15",18.4,11.3,8,1951,"",28.4,"117",20.9,11.3,NA,NA,"","","",NA,NA,NA,"WF","WF","SP",""
"9","12B","59",9,"13",32.1,"15",NA,0,9,591,"",16.5,"818",10.2,3.1,9,1952,"",12.1,"818",7.6,3.4,NA,NA,"","","",NA,NA,NA,"WF","BO","BO",""
"10","12B","59",10,"11",43.2,"202",NA,40,10,592,"",12,"818",8.2,2.8,10,1953,"",26.2,"015",15.4,8.4,NA,NA,"","","",NA,NA,NA,"DF","BO","WF",""
"11","12B","59",11,"12",1,"117",7,30,11,593,"Y",17,"81",5.1,0,11,1954,"",15.9,"202",15.8,8.6,NA,NA,"","","",NA,NA,NA,"SP","IC","DF",""
"12","12B","59",12,"10",6.3,"818",20,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"BO","","",""
"13","12B","59",13,"9",2.8,"15",21,20,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"14","12B","59",14,"8",3.4,"81",17,20,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"IC","","",""
"15","12B","59",15,"7",2.6,"818",NA,20,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"BO","","",""
"16","12B","59",16,"6",3.6,"818",NA,20,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"BO","","",""
"17","12B","59",17,"5",4.5,"818",NA,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"BO","","",""
"18","12B","59",18,"4",1.1,"202",48,20,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","","",""
"19","12B","59",19,"3",6.7,"15",NA,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"20","12B","59",20,"2",0.5,"15",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"21","12B","59",21,"1",0.5,"81",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"IC","","",""
"22","12B","79",1,"22",18.1,"81",72,20,1,594,"",77,"122",31.6,25,1,1955,"",76.1,"122",29.5,28.3,1,2627,"Y","74","Snag",35.94943734,NA,NA,"IC","PP","PP","Snag"
"23","12B","79",2,"23",29.4,"122",130,40,2,595,"",66,"122",30,22.5,2,1956,"y",47.7,"081",14.5,NA,2,2628,"Y","13.4","818",7.138059852,NA,NA,"PP","PP","IC","BO"
"24","12B","79",3,"24",24.4,"81",NA,20,3,596,"",111,"122",38.1,31.3,3,1957,"",11.4,"117",8.6,6.6,3,2629,"Y","32.1","117",16.01738008,NA,NA,"IC","PP","SP","SP"
"25","12B","79",4,"25",40.4,"202",95,0,4,597,"",99,"122",32.9,21.9,4,1958,"",67.8,"122",32.9,31.1,4,2630,"","16.3","122",7.253380705,NA,NA,"DF","PP","PP","PP"
"26","12B","79",5,"26",6,"202",34,30,5,598,"Y",49.5,"81",14.5,0,5,1959,"",24.1,"818",11.1,11.1,5,2631,"Y","15.1","122",10.46930975,NA,NA,"DF","IC","BO","PP"
"27","12B","79",6,"27",4.7,"818",34,30,6,599,"",71,"122",34,25,6,1960,"",17.9,"202",10.4,8.1,6,2632,"Y","20.6","117",12.726035,NA,NA,"BO","PP","DF","SP"
"28","12B","79",7,"28",4.7,"117",24,40,7,600,"",12.5,"122",5.4,3.5,7,1961,"",17.7,"202",12.1,12.1,7,2633,"Y","22.2","117",6.70494438,NA,NA,"SP","PP","DF","SP"
"29","12B","79",8,"29",6.1,"818",NA,30,8,601,"",66,"81",24.6,15.6,8,1962,"",15.4,"818",10.9,8.1,8,2634,"Y","15.8","818",6.589454941,NA,NA,"BO","IC","BO","BO"
"30","12B","79",9,"30",1.8,"15",12,30,9,602,"Y",112,"122",30,0,9,1963,"",63.6,"122",28.6,28.3,9,2635,"Y","16.1","117",7.999758019,NA,NA,"WF","PP","PP","SP"
"31","12B","79",10,"31",2.7,"818",NA,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,10,2636,"Y","13.2","818",9.428889182,NA,NA,"BO","","","BO"
"32","12B","79",11,"32",6.6,"122",NA,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,11,2637,"Y","16.7","202",11.24053564,NA,NA,"PP","","","DF"
